dataset,model_name,scenario,seed,window_size,alphabet_size,status,accuracy,precision,recall,f1_score
BATADAL,LSTM,normal,42,4,3,Success,0.9032648125755744,0.0,0.0,0.0
BATADAL,Automata,normal,42,4,3,Success,0.6626794258373205,0.1994047619047619,0.8375,0.3221153846153846
BATADAL,LSTM,normal,42,3,3,Success,0.9032648125755744,0.0,0.0,0.0
BATADAL,Automata,normal,42,3,3,Success,0.9043062200956936,0.5,0.1125,0.1836734693877551
BATADAL,LSTM,normal,42,3,4,Success,0.9032648125755744,0.0,0.0,0.0
BATADAL,Automata,normal,42,3,4,Success,0.7787081339712919,0.073170731707317,0.1125,0.0886699507389162
BATADAL,LSTM,normal,42,3,5,Success,0.9032648125755744,0.0,0.0,0.0
BATADAL,Automata,normal,42,3,5,Success,0.5610047846889952,0.0911680911680911,0.4,0.148491879350348
BATADAL,LSTM,normal,42,3,6,Success,0.9032648125755744,0.0,0.0,0.0
BATADAL,Automata,normal,42,3,6,Success,0.3433014354066985,0.1111111111111111,0.8375,0.1961932650073206
BATADAL,LSTM,normal,42,4,3,Success,0.9032648125755744,0.0,0.0,0.0
BATADAL,Automata,normal,42,4,3,Success,0.6626794258373205,0.1994047619047619,0.8375,0.3221153846153846
BATADAL,LSTM,normal,42,4,4,Success,0.9032648125755744,0.0,0.0,0.0
BATADAL,Automata,normal,42,4,4,Success,0.3086124401913875,0.0983870967741935,0.7625,0.1742857142857143
BATADAL,LSTM,normal,42,4,5,Success,0.9032648125755744,0.0,0.0,0.0
BATADAL,Automata,normal,42,4,5,Success,0.2535885167464115,0.1136363636363636,1.0,0.2040816326530612
BATADAL,LSTM,normal,42,4,6,Success,0.9032648125755744,0.0,0.0,0.0
BATADAL,Automata,normal,42,4,6,Success,0.124401913875598,0.0985221674876847,1.0,0.179372197309417
BATADAL,LSTM,normal,42,5,3,Success,0.9032648125755744,0.0,0.0,0.0
BATADAL,Automata,normal,42,5,3,Success,0.7320574162679426,0.2517241379310345,0.9125,0.3945945945945946
BATADAL,LSTM,normal,42,5,4,Success,0.9032648125755744,0.0,0.0,0.0
BATADAL,Automata,normal,42,5,4,Success,0.4258373205741627,0.1428571428571428,1.0,0.25
